station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,3,4,507,360.8991,160.4241,445.5717,0.43145955,132.633,4,top,0.0,0.0,,48387.0,107.0702479338843,93.06236501079914,137.07475232662864,104.09559867486985,88.0,False,False,
P2_IN,3,5,506,445.3834,195.432,536.9981,0.42824079,132.865,4,top,5868.0,1408.0,0.23994546693933197,60219.0,119.31795906601326,106.03595582569986,150.6284122562674,117.56893715037842,104.0,False,True,0.005574855294990916
P2_IN,3,6,505,529.8633,230.433,628.4074,0.42301024,133.02,4,top,0.0,0.0,,10649.0,122.42220019821606,106.03650442477877,168.40316205533597,119.68713450292398,104.0,False,False,
P2_IN,3,7,504,308.6966,137.1869,388.42,0.4317478,132.432,4,top,0.0,0.0,,25998.0,105.70082020570239,92.4631073785243,131.22272727272727,103.33963750985028,88.0,False,False,
P2_IN,3,8,503,393.1792,172.1946,479.8486,0.42861317,132.73,4,top,26523.0,8751.0,0.3299400520303133,84324.0,93.46855226709432,83.63341594984692,118.03723723723724,92.18860303801914,88.0,False,True,0.0028871079743359785
P2_IN,3,9,502,477.6574,207.1948,571.2589,0.42297927,132.932,4,top,0.0,0.0,,24168.0,115.76831019626616,102.29756623906006,152.3896103896104,114.89944751381215,104.0,False,False,
P2_IN,3,10,501,256.494,113.9519,331.2799,0.43547926,132.122,4,top,0.0,0.0,,12775.0,110.27487707796769,98.31046593303677,144.1508078994614,109.47671232876712,104.0,False,False,
P2_IN,3,11,500,340.9745,148.9585,422.6973,0.42893471,132.569,4,top,0.0,0.0,,48016.0,97.08998474834775,87.43553414565032,121.68115942028986,96.84276729559748,88.0,False,False,
P2_IN,3,12,499,425.4505,183.9581,514.1045,0.42224705,132.814,4,top,11331.0,3191.0,0.28161680345953577,66833.0,114.55520039341037,102.52989533624735,145.28220140515222,113.97641688855077,104.0,False,True,0.004225452706551564
P2_IN,3,13,498,509.9245,218.9535,605.5109,0.41633744,132.988,4,top,0.0,0.0,,18300.0,117.14803625377644,103.93566915565766,153.5968992248062,115.99063231850117,104.0,False,False,
P2_IN,3,14,497,288.7689,125.7253,365.5676,0.43329878,132.325,4,top,0.0,0.0,,21723.0,100.98807200173498,87.06780371871942,136.263862332696,99.55816831683168,88.0,False,False,
P2_IN,3,15,496,373.2427,160.7225,456.9612,0.42361489,132.675,4,top,0.0,0.0,,47513.0,115.48993895546009,103.16157690172126,147.68117120780806,114.56497175141243,104.0,False,False,
P2_IN,3,16,495,457.7147,195.7159,548.3633,0.41652741,132.895,4,top,1507.0,394.0,0.26144658261446585,48146.0,111.28719172633254,100.3436754176611,141.10976496244245,110.98969072164948,104.0,False,True,0.011319462749181821
P2_IN,3,17,494,542.1859,230.708,636.8928,0.41175612,133.033,4,top,0.0,0.0,,6812.0,111.16699410609037,97.78388998035363,157.44408945686902,110.89583333333333,104.0,False,False,
P2_IN,3,18,493,204.2918,90.7201,274.1432,0.44121948,131.657,4,top,0.0,0.0,,7935.0,115.09142857142858,102.96803953871499,147.68337730870712,114.33189655172414,104.0,False,False,
P2_IN,3,19,492,321.033,137.4891,399.8195,0.42554056,132.482,4,top,0.0,0.0,,19764.0,121.29576174112256,106.37426900584795,157.6152512998267,119.17143867090844,104.0,False,False,
P2_IN,3,20,491,405.5031,172.48,491.211,0.41621153,132.761,4,top,16785.0,3321.0,0.19785522788203752,43204.0,131.06810948440483,116.60332541567696,175.7966963151207,130.4318869828456,120.0,False,True,0.003074960001355549
P2_IN,3,21,490,489.9731,207.47,582.6228,0.41110795,132.948,4,top,0.0,0.0,,22337.0,106.34220997857362,92.85421181910128,135.56962025316454,104.41526466967584,88.0,False,False,
P2_IN,3,22,489,236.5619,102.496,308.4025,0.43307283,131.956,4,top,0.0,0.0,,10275.0,121.95360195360195,107.30361173814899,157.56550580431175,119.8636655948553,104.0,False,False,
P2_IN,3,23,488,152.0896,67.4964,216.9946,0.44714416,130.813,4,top,0.0,0.0,,4158.0,119.26172465960666,103.51219512195122,173.73684210526315,117.66037735849056,104.0,False,False,
P2_IN,3,24,487,522.2268,219.2207,616.8913,0.40754471,132.998,4,top,0.0,0.0,,17278.0,109.06846673095468,95.69300635785649,143.06656225528582,108.20758483033933,104.0,False,False,
P2_IN,3,25,486,437.7578,184.2333,525.472,0.41102263,132.841,4,top,1291.0,354.0,0.27420604182804026,58849.0,109.82560784511955,97.92670474649952,141.56269691241337,109.15201271186442,104.0,False,True,0.012416010267507431
P2_IN,3,26,485,353.2891,149.2459,434.0562,0.41580497,132.599,4,top,0.0,0.0,,46647.0,108.12101713790757,96.57687310524037,132.056,106.71900269541779,104.0,False,False,
P2_IN,3,27,484,268.8204,114.2595,342.6535,0.42440302,132.193,4,top,0.0,0.0,,17012.0,115.48669585719098,103.0728763732013,151.75355450236967,114.8964745383324,104.0,False,False,
P2_IN,3,28,483,184.3524,79.2749,251.2362,0.43389969,131.391,4,top,0.0,0.0,,6224.0,122.74483677548301,107.77852672123255,165.85507246376812,119.92141453831042,104.0,False,False,
P2_IN,3,29,482,470.0076,195.9825,559.7346,0.40623825,132.911,4,top,0.0,0.0,,25867.0,113.06443679291687,100.88191095659975,149.33222591362127,112.81414597441686,104.0,False,False,
P2_IN,3,30,481,385.5391,160.998,468.3114,0.40925616,132.706,4,top,1894.0,529.0,0.27930306230200636,53564.0,116.44540540540541,103.50551148655609,143.87594609562487,115.20166104334285,104.0,False,True,0.010309181831617054
P2_IN,3,31,480,110.37,48.8092,171.124,0.42762377,144.013,4,top,0.0,0.0,,2988.0,104.0551724137931,89.06005719733079,153.25301204819274,102.2127659574468,88.0,False,False,
P2_IN,3,32,479,502.2533,207.729,594.0039,0.40268428,132.96,4,top,0.0,0.0,,14380.0,109.54669308892743,95.2484076433121,145.4740368509213,108.61748633879782,104.0,False,False,
P2_IN,3,33,478,301.0708,126.0152,376.8862,0.41328435,132.379,4,top,0.0,0.0,,17245.0,116.3764404609475,102.73257372654156,152.18439716312056,115.19140989729225,104.0,False,False,
P2_IN,3,34,477,417.7845,172.7454,502.5742,0.40435951,132.796,4,top,5115.0,1303.0,0.25474095796676444,48314.0,120.02693112546629,105.77108290831455,151.26367408525084,117.84497151185901,104.0,False,True,0.0060922847913306155
P2_IN,3,35,476,534.4961,219.4728,628.2759,0.3999285,133.016,4,top,0.0,0.0,,15313.0,108.7624286016501,95.76185567010309,140.24014336917563,107.59976998274871,104.0,False,False,
P2_IN,3,36,475,216.603,91.037,285.4729,0.4216318,131.773,4,top,0.0,0.0,,6341.0,123.06989247311827,107.66666666666667,169.15481171548117,120.32635983263599,104.0,False,False,
P2_IN,3,37,474,333.3152,137.765,411.1436,0.40667697,132.519,4,top,0.0,0.0,,37600.0,95.28738818193273,85.81277560791231,120.38156831042846,95.15430622009569,88.0,False,False,
P2_IN,3,38,473,450.026,184.4902,536.8419,0.40076595,132.866,4,top,0.0,0.0,,41408.0,104.65369034680367,90.801998001998,133.8649093904448,102.53319409219752,88.0,False,False,
P2_IN,3,39,472,248.8458,102.7896,319.7227,0.41293591,132.053,4,top,0.0,0.0,,9928.0,111.02225174360677,97.8332779807373,152.58212058212058,110.74080410607357,104.0,False,False,
P2_IN,3,40,471,365.5552,149.5104,445.4081,0.40219162,132.637,4,top,0.0,0.0,,31660.0,106.17857561891353,92.1553734939759,134.8493946731235,103.55942837225514,88.0,False,False,
