channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
548,5,155,447.8485,217.3458,319,283,27
547,5,156,519.9252,252.0558,334,284,28
546,5,157,283.8403,136.488,332,285,29
545,5,158,355.917,171.1932,350,283,27
544,5,159,427.994,205.9001,343,283,27
543,5,160,500.0709,240.6084,339,283,27
542,5,161,191.8934,90.3556,328,284,28
541,5,162,263.9748,125.0482,325,284,28
540,5,163,408.1335,194.453,291,283,27
539,5,164,480.2117,229.1595,331,283,27
538,5,165,336.0544,159.7486,324,283,27
537,5,166,119.8071,55.688,352,284,28
536,5,167,388.2657,183.0042,334,283,27
535,5,168,460.3467,217.7091,330,283,27
534,5,169,532.4268,252.4152,319,282,26
533,5,170,316.1831,148.3025,355,284,28
532,5,171,244.0974,113.6066,321,283,27
531,5,172,172.0044,78.9249,331,285,29
530,5,173,512.5581,240.9619,296,282,26
529,5,174,440.4752,206.2563,329,284,28
528,5,175,368.39,171.5535,340,283,27
527,5,176,296.301,136.8547,306,283,27
526,5,177,492.683,229.5066,323,282,26
525,5,178,224.2045,102.1643,382,284,28
524,5,179,420.5957,194.8022,322,283,27
523,5,180,348.5044,160.1005,312,283,27
522,5,181,276.4057,125.4044,323,283,27
521,5,182,472.8009,218.0495,316,283,27
520,5,183,400.7076,183.3456,290,283,27
519,5,184,328.6075,148.6451,332,283,27
518,5,185,525.0057,241.2954,322,282,26
517,5,186,452.9108,206.5899,335,282,26
516,5,187,380.8094,171.8864,297,282,26
515,5,188,433.0117,195.1277,310,282,26
514,5,189,505.1138,229.8337,289,282,26
513,5,190,485.2135,218.3691,319,283,27
512,5,191,537.4159,241.6109,269,283,27
639,5,192,510.3199,294.5593,281,284,28
638,5,193,470.731,271.7025,290,283,27
637,5,194,450.9364,260.2742,251,284,28
636,5,195,431.1417,248.8462,224,283,27
635,5,196,411.3474,237.4175,276,285,29
634,5,197,503.3701,283.6772,272,283,27
633,5,198,351.9643,203.1326,275,284,28
632,5,199,483.5741,272.2493,268,284,28
631,5,200,312.3758,180.2762,267,284,28
630,5,201,463.7775,260.8215,278,283,27
629,5,202,443.9808,249.3942,282,283,27
628,5,203,272.7878,157.4203,267,284,28
627,5,204,424.1838,237.9667,263,283,27
626,5,205,252.9942,145.992,258,284,28
625,5,206,404.3868,226.5392,270,284,28
624,5,207,384.5895,215.1119,288,283,27
623,5,208,213.4071,123.1366,289,285,29
622,5,209,364.7919,203.6852,285,284,28
621,5,210,516.1648,284.1931,291,285,29
620,5,211,344.9941,192.2579,308,284,28
619,5,212,496.3645,272.7647,279,284,28
618,5,213,325.1958,180.8313,313,284,28
617,5,214,476.5642,261.3363,303,284,28
616,5,215,173.8214,100.2819,295,285,29
615,5,216,456.7627,249.9082,294,284,28
614,5,217,305.3971,169.4047,297,284,28
613,5,218,436.9609,238.4796,319,284,28
612,5,219,285.5979,157.9788,276,284,28
611,5,220,417.1586,227.0515,307,284,28
610,5,221,265.7979,146.5533,296,284,28
609,5,222,397.3555,215.6236,293,284,28
608,5,223,245.9971,135.1281,305,284,28
607,5,224,377.5512,204.1957,316,285,29
606,5,225,226.1952,123.7039,323,284,28
605,5,226,509.1055,273.251,298,284,28
604,5,227,357.7461,192.7676,275,284,28
603,5,228,489.2988,261.821,293,284,28
602,5,229,337.94,181.34,304,284,28
601,5,230,469.4907,250.391,293,284,28
600,5,231,206.3922,112.2805,306,285,29
599,5,232,449.6822,238.9607,309,284,28
598,5,233,318.1322,169.9123,276,284,28
597,5,234,186.5871,100.8585,291,286,30
596,5,235,429.8721,227.5304,295,284,28
595,5,236,298.3225,158.485,312,285,29
594,5,237,166.7797,89.4384,268,285,29
593,5,238,410.0603,216.0998,287,285,29
592,5,239,521.7991,273.7103,295,284,28
591,5,240,278.5107,147.0578,271,284,28
590,5,241,390.247,204.669,262,283,27
589,5,242,501.9848,262.2779,283,283,27
588,5,243,370.4316,193.2386,272,284,28
587,5,244,482.1687,250.8449,263,284,28
586,5,245,258.6967,135.6311,261,283,27
585,5,246,146.9687,78.0211,266,284,28
584,5,247,462.351,239.4116,279,285,29
583,5,248,350.6137,181.8076,280,284,28
582,5,249,238.8788,124.2051,291,284,28
581,5,250,442.5308,227.9782,277,284,28
580,5,251,127.1522,66.6083,270,284,28
579,5,252,330.7931,170.3765,282,284,28
578,5,253,422.7087,216.5437,274,284,28
577,5,254,219.057,112.7797,283,284,28
576,5,255,514.6246,262.7091,251,284,28
703,5,256,398.9561,257.6972,276,284,28
702,5,257,187.4608,121.753,316,284,28
701,5,258,313.0162,201.1795,275,284,28
700,5,259,418.7692,269.1467,303,283,27
699,5,260,207.2679,133.2115,289,284,28
698,5,261,438.5809,280.594,310,283,27
697,5,262,332.8259,212.6284,296,284,28
696,5,263,227.073,144.6646,296,283,27
695,5,264,458.3912,292.0399,286,283,27
694,5,265,352.6339,224.0761,300,283,27
693,5,266,246.8768,156.1138,307,284,28
692,5,267,478.2004,303.4844,310,283,27
691,5,268,372.4408,235.5208,306,284,28
690,5,269,498.0082,314.9279,303,283,27
689,5,270,121.3291,76.7049,322,284,28
688,5,271,392.2463,246.9646,291,282,26
687,5,272,266.6793,167.5601,320,284,28
686,5,273,141.1204,88.1594,335,285,29
685,5,274,412.0511,258.4066,301,284,28
684,5,275,286.4811,179.004,323,284,28
683,5,276,431.8549,269.8476,316,284,28
682,5,277,160.9131,99.6075,330,285,29
681,5,278,306.2821,190.4455,312,284,28
680,5,279,451.6582,281.287,340,285,29
679,5,280,471.4606,292.7258,338,284,28
678,5,281,326.0822,201.8859,337,284,28
677,5,282,491.2624,304.1637,301,284,28
676,5,283,180.7064,111.0511,322,284,28
675,5,284,345.8821,213.3244,295,283,27
674,5,285,200.5005,122.4917,324,285,29
673,5,286,365.6814,224.762,330,284,28
672,5,287,220.2949,133.9297,347,283,27
671,5,288,385.4802,236.1986,329,283,27
670,5,289,405.2788,247.6348,332,284,28
669,5,290,240.0895,145.3662,326,285,29
668,5,291,425.0767,259.07,301,284,28
667,5,292,259.884,156.8017,342,284,28
