node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
192,624.0190,10.3594,0.0000,0.000001,0.000000,-0.000007,1.003860,146.5
193,628.0060,3.4531,0.0000,0.000001,0.000000,-0.000006,1.003860,146.5
194,318.9870,538.6900,-0.2000,0.000000,0.000000,0.000011,1.003860,146.5
195,322.9750,531.7830,-0.2000,-0.000001,0.000001,0.000009,1.003860,146.5
196,326.9620,524.8770,-0.2000,0.000004,0.000007,0.000006,1.003860,146.5
197,330.9490,517.9710,-0.2000,0.000002,0.000000,0.000009,1.003860,146.5
198,334.9370,511.0650,-0.2000,-0.000000,-0.000001,0.000012,1.003860,146.5
199,338.9240,504.1580,-0.2000,-0.000001,0.000001,0.000010,1.003860,146.5
200,342.9110,497.2520,-0.2000,-0.000001,0.000003,0.000009,1.003860,146.5
201,346.8990,490.3460,-0.2000,0.000004,0.000004,0.000000,1.003860,146.5
202,350.8860,483.4390,-0.2000,-0.000003,0.000003,-0.000001,1.003860,146.5
203,354.8730,476.5330,-0.2000,-0.000003,0.000005,0.000004,1.003860,146.5
204,358.8610,469.6270,-0.2000,-0.000009,0.000009,-0.000004,1.003860,146.5
205,362.8480,462.7210,-0.2000,-0.000014,0.000013,-0.000010,1.003860,146.5
206,366.8350,455.8140,-0.2000,-0.000003,0.000007,-0.000001,1.003860,146.5
207,370.8230,448.9080,-0.2000,-0.000004,0.000001,-0.000001,1.003860,146.5
208,374.8100,442.0020,-0.2000,-0.000005,0.000000,-0.000000,1.003860,146.5
209,378.7970,435.0960,-0.2000,-0.000001,0.000001,-0.000003,1.003860,146.5
210,382.7850,428.1890,-0.2000,-0.000001,0.000000,-0.000006,1.003860,146.5
211,386.7720,421.2830,-0.2000,0.000002,0.000002,-0.000020,1.003860,146.5
212,390.7590,414.3770,-0.2000,-0.000000,0.000001,-0.000013,1.003860,146.5
213,394.7470,407.4700,-0.2000,-0.000003,0.000005,-0.000008,1.003860,146.5
214,398.7340,400.5640,-0.2000,-0.000003,0.000005,-0.000000,1.003860,146.5
215,402.7220,393.6580,-0.2000,-0.000001,0.000001,0.000001,1.003860,146.5
216,406.7090,386.7520,-0.2000,0.000001,-0.000002,0.000000,1.003860,146.5
217,410.6960,379.8450,-0.2000,0.000003,-0.000001,0.000005,1.003860,146.5
218,414.6840,372.9390,-0.2000,-0.000001,0.000001,-0.000001,1.003860,146.5
219,418.6710,366.0330,-0.2000,-0.000002,-0.000001,-0.000014,1.003860,146.5
220,422.6580,359.1260,-0.2000,0.000003,0.000006,-0.000045,1.003860,146.5
221,426.6460,352.2200,-0.2000,0.000009,0.000000,-0.000061,1.003860,146.5
222,430.6330,345.3140,-0.2000,0.000009,-0.000004,-0.000044,1.003860,146.5
223,434.6200,338.4080,-0.2000,0.000002,-0.000003,-0.000027,1.003860,146.5
224,438.6080,331.5010,-0.2000,-0.000000,-0.000002,-0.000018,1.003860,146.5
225,442.5950,324.5950,-0.2000,0.000000,-0.000003,-0.000021,1.003860,146.5
226,446.5820,317.6890,-0.2000,-0.000000,-0.000007,-0.000073,1.003860,146.5
227,450.5700,310.7830,-0.2000,-0.000005,-0.000007,-0.000081,1.003860,146.5
228,454.5570,303.8760,-0.2000,0.000002,-0.000001,-0.000024,1.003860,146.5
229,458.5440,296.9700,-0.2000,0.000003,-0.000001,0.000024,1.003860,146.5
230,462.5320,290.0640,-0.2000,0.000002,-0.000001,0.000061,1.003860,146.5
231,466.5190,283.1570,-0.2000,0.000001,-0.000001,0.000094,1.003860,146.5
232,470.5060,276.2510,-0.2000,0.000003,0.000002,0.000178,1.003860,146.5
233,474.4940,269.3450,-0.2000,0.000010,-0.000001,0.000304,1.003860,146.5
234,478.4810,262.4390,-0.2000,0.000014,-0.000005,0.000527,1.003860,146.5
235,482.4680,255.5320,-0.2000,0.000012,-0.000006,0.000430,1.003860,146.5
236,486.4560,248.6260,-0.2000,0.000003,-0.000006,0.000108,1.003860,146.5
237,490.4430,241.7200,-0.2000,0.000004,-0.000013,0.000073,1.003860,146.5
238,494.4300,234.8130,-0.2000,0.000003,0.000005,0.000055,1.003860,146.5
239,498.4180,227.9070,-0.2000,0.000000,0.000002,0.000031,1.003860,146.5
240,502.4050,221.0010,-0.2000,-0.000001,0.000000,-0.000012,1.003860,146.5
241,506.3920,214.0950,-0.2000,-0.000000,0.000001,-0.000037,1.003860,146.5
242,510.3800,207.1880,-0.2000,0.000000,0.000000,-0.000035,1.003860,146.5
243,514.3670,200.2820,-0.2000,0.000001,0.000001,0.000002,1.003860,146.5
244,518.3540,193.3760,-0.2000,0.000000,0.000009,0.000064,1.003860,146.5
245,522.3420,186.4700,-0.2000,-0.000004,0.000009,0.000090,1.003860,146.5
246,526.3290,179.5630,-0.2000,-0.000004,0.000004,0.000011,1.003860,146.5
247,530.3160,172.6570,-0.2000,-0.000003,-0.000002,-0.000002,1.003860,146.5
248,534.3040,165.7510,-0.2000,0.000000,-0.000002,0.000006,1.003860,146.5
249,538.2910,158.8440,-0.2000,0.000001,0.000002,0.000018,1.003860,146.5
250,542.2790,151.9380,-0.2000,0.000007,0.000007,0.000027,1.003860,146.5
251,546.2660,145.0320,-0.2000,0.000009,0.000004,0.000028,1.003860,146.5
252,550.2530,138.1260,-0.2000,0.000003,-0.000000,0.000025,1.003860,146.5
253,554.2400,131.2190,-0.2000,-0.000000,-0.000002,0.000021,1.003860,146.5
254,558.2280,124.3130,-0.2000,0.000001,0.000000,0.000017,1.003860,146.5
255,562.2150,117.4070,-0.2000,0.000001,-0.000003,0.000015,1.003860,146.5
256,566.2030,110.5000,-0.2000,0.000004,-0.000002,0.000002,1.003860,146.5
257,570.1900,103.5940,-0.2000,-0.000011,0.000003,-0.000002,1.003860,146.5
258,574.1770,96.6879,-0.2000,-0.000021,0.000009,-0.000002,1.003860,146.5
259,578.1650,89.7816,-0.2000,-0.000015,0.000008,0.000002,1.003860,146.5
260,582.1520,82.8753,-0.2000,-0.000006,0.000005,0.000017,1.003860,146.5
261,586.1390,75.9691,-0.2000,-0.000004,0.000004,0.000017,1.003860,146.5
262,590.1270,69.0628,-0.2000,-0.000001,0.000003,0.000006,1.003860,146.5
263,594.1140,62.1565,-0.2000,0.000000,-0.000001,0.000002,1.003860,146.5
264,598.1010,55.2502,-0.2000,-0.000001,0.000000,0.000006,1.003860,146.5
265,602.0890,48.3439,-0.2000,0.000000,0.000003,0.000013,1.003860,146.5
266,606.0760,41.4377,-0.2000,0.000002,0.000001,0.000009,1.003860,146.5
267,610.0630,34.5314,-0.2000,0.000001,-0.000002,0.000001,1.003860,146.5
268,614.0510,27.6251,-0.2000,0.000002,-0.000004,-0.000004,1.003860,146.5
269,618.0380,20.7188,-0.2000,0.000000,-0.000001,-0.000010,1.003860,146.5
270,622.0250,13.8126,-0.2000,0.000002,-0.000000,-0.000008,1.003860,146.5
271,626.0130,6.9063,-0.2000,0.000000,-0.000000,-0.000007,1.003860,146.5
272,316.9940,542.1430,-0.2000,0.000000,0.000000,0.000010,1.003860,146.5
273,320.9810,535.2370,-0.2000,-0.000000,0.000001,0.000010,1.003860,146.5
274,324.9680,528.3300,-0.2000,-0.000000,0.000003,0.000008,1.003860,146.5
275,328.9560,521.4240,-0.2000,0.000005,0.000007,0.000007,1.003860,146.5
276,332.9430,514.5180,-0.2000,-0.000001,-0.000003,0.000012,1.003860,146.5
277,336.9300,507.6110,-0.2000,-0.000000,0.000000,0.000009,1.003860,146.5
278,340.9180,500.7050,-0.2000,0.000003,0.000001,0.000011,1.003860,146.5
279,344.9050,493.7990,-0.2000,-0.000001,0.000004,0.000004,1.003860,146.5
280,348.8920,486.8930,-0.2000,0.000000,0.000003,-0.000002,1.003860,146.5
281,352.8800,479.9860,-0.2000,-0.000004,0.000004,0.000002,1.003860,146.5
282,356.8670,473.0800,-0.2000,-0.000002,0.000004,0.000001,1.003860,146.5
283,360.8540,466.1740,-0.2000,-0.000022,0.000017,-0.000009,1.003860,146.5
284,364.8420,459.2680,-0.2000,-0.000007,0.000009,-0.000005,1.003860,146.5
285,368.8290,452.3610,-0.2000,-0.000002,0.000004,-0.000000,1.003860,146.5
286,372.8160,445.4550,-0.2000,-0.000005,-0.000001,-0.000001,1.003860,146.5
287,376.8040,438.5490,-0.2000,-0.000004,-0.000000,-0.000001,1.003860,146.5
288,380.7910,431.6420,-0.2000,0.000000,0.000001,-0.000005,1.003860,146.5
289,384.7780,424.7360,-0.2000,-0.000001,0.000001,-0.000011,1.003860,146.5
290,388.7660,417.8300,-0.2000,0.000001,0.000000,-0.000017,1.003860,146.5
291,392.7530,410.9240,-0.2000,-0.000002,0.000002,-0.000010,1.003860,146.5
292,396.7410,404.0170,-0.2000,-0.000003,0.000005,-0.000006,1.003860,146.5
293,400.7280,397.1110,-0.2000,-0.000006,0.000007,0.000003,1.003860,146.5
294,404.7150,390.2050,-0.2000,0.000002,-0.000003,-0.000000,1.003860,146.5
295,408.7030,383.2980,-0.2000,0.000003,-0.000005,0.000004,1.003860,146.5
296,412.6900,376.3920,-0.2000,0.000001,0.000002,0.000003,1.003860,146.5
297,416.6770,369.4860,-0.2000,-0.000000,-0.000002,-0.000007,1.003860,146.5
298,420.6650,362.5800,-0.2000,-0.000001,0.000003,-0.000026,1.003860,146.5
299,424.6520,355.6730,-0.2000,0.000012,0.000007,-0.000063,1.003860,146.5
300,428.6390,348.7670,-0.2000,0.000010,-0.000002,-0.000054,1.003860,146.5
301,432.6270,341.8610,-0.2000,0.000005,-0.000004,-0.000032,1.003860,146.5
302,436.6140,334.9540,-0.2000,0.000001,-0.000003,-0.000022,1.003860,146.5
303,440.6010,328.0480,-0.2000,-0.000000,-0.000002,-0.000017,1.003860,146.5
304,444.5890,321.1420,-0.2000,0.000001,-0.000004,-0.000039,1.003860,146.5
305,448.5760,314.2360,-0.2000,-0.000003,-0.000010,-0.000091,1.003860,146.5
306,452.5630,307.3290,-0.2000,-0.000003,-0.000003,-0.000050,1.003860,146.5
307,456.5510,300.4230,-0.2000,0.000004,-0.000001,0.000005,1.003860,146.5
308,460.5380,293.5170,-0.2000,0.000002,-0.000000,0.000040,1.003860,146.5
309,464.5250,286.6110,-0.2000,0.000003,-0.000001,0.000081,1.003860,146.5
310,468.5130,279.7040,-0.2000,0.000003,-0.000000,0.000146,1.003860,146.5
311,472.5000,272.7980,-0.2000,0.000007,0.000002,0.000219,1.003860,146.5
312,476.4870,265.8920,-0.2000,0.000011,-0.000003,0.000412,1.003860,146.5
313,480.4750,258.9850,-0.2000,0.000017,-0.000006,0.000531,1.003860,146.5
314,484.4620,252.0790,-0.2000,0.000005,-0.000004,0.000262,1.003860,146.5
315,488.4490,245.1730,-0.2000,0.000005,-0.000011,0.000087,1.003860,146.5
316,492.4370,238.2670,-0.2000,0.000003,-0.000001,0.000063,1.003860,146.5
317,496.4240,231.3600,-0.2000,0.000001,0.000005,0.000046,1.003860,146.5
318,500.4110,224.4540,-0.2000,-0.000000,0.000001,0.000008,1.003860,146.5
319,504.3990,217.5480,-0.2000,-0.000001,-0.000000,-0.000026,1.003860,146.5
320,508.3860,210.6410,-0.2000,0.000000,0.000000,-0.000040,1.003860,146.5
321,512.3730,203.7350,-0.2000,0.000001,0.000001,-0.000020,1.003860,146.5
