station,gas,run,sub,chip,mesh,drift,n,sigma,mu,ctr,eff,pt,gain
P2_MID,Ar/CF4/Iso 88/10/2,run_71,cfg_gain4.5_peaktime50,p2b-config-cern-ext_gain4.5_peaktime50.txt,450.0,750.0,41,18.523034970788306,-55.24468428174949,31.91472653362897,0.3218043044763803,50.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_27,cfg_gain3.0_peaktime25,p2b-config-cern-ext_gain3.0_peaktime25.txt,435.0,735.0,74,29.201237222849144,-110.66282529308619,9.519665857092686,0.0758711454887616,25.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_36,operating_00,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,66,22.00423275599903,114.59843495543609,35.17187569494829,0.5797894151950593,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_36,operating_01,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,71,22.01539535453533,114.63623543015238,28.449732115524306,0.5698247176880551,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_36,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,71,22.003331918801926,114.73185100883472,34.71472651322575,0.5773460780847517,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_38,cfg_gain3.0_peaktime100,p2b-config-cern-ext_gain3.0_peaktime100.txt,450.0,750.0,49,22.187903661388727,16.004821836457715,35.36215880261351,0.5167225733321911,100.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_39,cfg_gain3.0_peaktime25,p2b-config-cern-ext_gain3.0_peaktime25.txt,450.0,750.0,47,28.93911174454503,-84.35555271545006,27.056978582962337,0.2159220064152754,25.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_40,cfg_gain3.0_peaktime50,p2b-config-cern-ext_gain3.0_peaktime50.txt,450.0,750.0,48,23.225569298125418,-43.272534796018846,35.2942553228572,0.39261424175427156,50.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_41,cfg_gain3.0_peaktime200,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,47,22.10853311604913,115.1513941401846,33.26509467250822,0.5661649481820935,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_42,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,46,23.04917083714855,111.2850716943316,33.139273179848445,0.2068243175299177,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_43,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,47,22.147239503332543,115.27333806507131,33.65751183424749,0.5643209559380538,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_45,cfg_gain4.5_peaktime100,p2b-config-cern-ext_gain4.5_peaktime100.txt,450.0,750.0,47,21.923883381826336,17.68244636139866,31.89715569165579,0.6037063934969294,100.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_46,cfg_gain4.5_peaktime200,p2b-config-cern-ext_gain4.5_peaktime200.txt,450.0,750.0,48,21.776175889789926,114.08991066074508,30.639520319785106,0.5625568221817794,200.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_47,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,48,21.866106403124313,111.22509169541844,33.591575196047586,0.3118057592551806,200.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_48,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,48,21.72533535483306,114.2644274931461,31.55248270308669,0.5681208649015694,200.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_50,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,32,23.08309785826153,116.94421379419535,32.02997377098758,0.3658489395442127,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_51,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,31,24.30756289492071,113.2309832933024,29.30497382198953,0.1247684564386261,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_52,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,31,22.725718840364078,115.6998325118262,26.17161648397811,0.3767784987562025,200.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_53,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,41,23.130314004319143,113.3886432443185,24.737683314061268,0.203914764521927,200.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_54,cfg_gain4.5_peaktime50,p2b-config-cern-ext_gain4.5_peaktime50.txt,450.0,750.0,41,24.120537435077072,-42.03665426159191,25.88718260937138,0.331789144617615,50.0,4.5
P2_MID,Ar/CO2/Iso 93/5/2,run_55,meshscan_m00V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,13,23.15391353737789,116.6952155821884,31.06532128733621,0.3748840347474066,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_55,meshscan_m10V,p2b-config-cern-ext_gain3.0_peaktime200.txt,440.0,740.0,17,24.28802862972324,117.64375643963652,27.40346833375605,0.2992789724832356,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_55,meshscan_m20V,p2b-config-cern-ext_gain3.0_peaktime200.txt,430.0,730.0,17,25.42796765540924,118.63337900687422,27.683198271204752,0.2181120646138314,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_56,meshscan_m30V,p2b-config-cern-ext_gain3.0_peaktime200.txt,420.0,720.0,16,26.431640639436473,120.6400445937021,25.650875874064777,0.1368878807903467,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_56,meshscan_m40V,p2b-config-cern-ext_gain3.0_peaktime200.txt,410.0,710.0,17,28.157599473140777,121.5742654998,22.74969781496978,0.0853521306184844,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_56,meshscan_m50V,p2b-config-cern-ext_gain3.0_peaktime200.txt,400.0,700.0,17,29.217528505652517,121.9700095420344,22.15239930268832,0.0684267709691438,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_56,meshscan_m60V,p2b-config-cern-ext_gain3.0_peaktime200.txt,390.0,690.0,16,30.190135195124796,122.26888605781608,19.19034839147445,0.04859244038435295,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_56,meshscan_m70V,p2b-config-cern-ext_gain3.0_peaktime200.txt,380.0,680.0,15,29.49216296269036,123.10670400466653,18.12625027783952,0.0344818632669488,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap150V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,600.0,17,44.14947327413521,188.29006340384277,15.87402129730206,0.3462203296934946,200.0,3.0
